date,n_gauges,cc_era5,cc_imerg,cc_mlr,a,b,c,cc_gain_vs_era5,cc_gain_vs_best
2009-06-28,208,0.16,0.33,0.34,0.19,0.56,0.48,0.17,0.01
2009-06-29,214,0.15,0.37,0.37,0.12,0.74,0.72,0.22,0.0
2009-06-30,207,0.25,0.63,0.63,-0.13,1.46,0.19,0.39,0.0
2009-07-01,220,0.28,0.33,0.37,0.88,0.46,0.8,0.09,0.04
2009-07-02,231,0.3,0.29,0.4,0.4,0.31,0.33,0.09,0.09
2009-07-03,225,0.27,0.42,0.43,0.14,0.66,1.04,0.16,0.02
2009-07-04,223,0.24,0.46,0.5,0.32,0.77,0.69,0.26,0.04
2009-07-05,219,0.39,0.56,0.63,0.85,1.51,-0.16,0.23,0.06
2009-07-06,214,0.15,0.17,0.2,0.25,0.48,0.22,0.05,0.03
2009-07-07,210,0.63,0.35,0.63,3.91,0.08,-0.06,0.0,0.0
2009-07-08,210,0.18,0.13,0.18,1.01,0.02,0.69,0.0,0.0
2009-07-09,211,0.17,0.2,0.23,0.58,0.48,0.38,0.07,0.03
2009-07-10,208,0.23,0.35,0.36,0.42,1.04,0.21,0.13,0.01
2009-07-11,209,0.23,0.27,0.3,0.17,0.17,0.05,0.07,0.03
2009-07-12,214,0.08,0.38,0.39,-0.28,1.55,0.14,0.31,0.01
2009-07-13,215,0.23,0.23,0.29,0.46,0.36,0.07,0.05,0.05
2009-07-14,213,0.13,0.24,0.26,0.54,0.47,0.25,0.13,0.02
2009-07-15,217,0.07,0.34,0.34,0.04,0.53,0.19,0.28,0.0
2009-07-16,217,0.06,0.41,0.41,-0.09,0.36,0.07,0.35,0.0
2009-07-17,216,0.21,0.58,0.58,-0.12,0.85,0.11,0.38,0.0
2009-07-18,209,0.08,0.34,0.34,-0.07,0.42,0.13,0.26,0.0
2009-07-19,218,0.2,0.33,0.34,0.43,0.49,0.24,0.14,0.01
2009-07-20,227,0.16,0.28,0.3,0.57,0.43,0.78,0.14,0.02
2009-07-21,232,0.07,0.35,0.36,0.17,0.61,0.76,0.29,0.01
2009-07-22,221,0.33,0.37,0.47,0.33,0.55,0.14,0.14,0.1
2009-07-23,221,0.18,0.38,0.39,0.17,0.65,0.52,0.21,0.01
2009-07-24,222,0.08,0.33,0.34,-0.13,0.58,0.69,0.26,0.02
2009-07-25,218,0.17,0.35,0.38,0.28,0.41,0.5,0.21,0.03
2009-07-26,219,0.43,0.38,0.51,0.36,0.39,0.01,0.08,0.08
2009-07-27,217,0.21,0.05,0.21,0.63,0.04,0.34,0.0,0.0
2009-07-28,219,0.32,0.34,0.41,0.59,0.34,0.11,0.09,0.06
2009-07-29,219,0.2,0.34,0.34,0.07,0.49,0.56,0.14,0.0
2009-07-30,222,0.32,0.47,0.48,0.3,0.42,0.21,0.16,0.02
2009-07-31,215,0.39,0.51,0.53,0.28,0.51,0.14,0.14,0.02
2009-08-01,210,0.02,0.1,0.11,-0.17,0.41,0.16,0.09,0.01
2009-08-02,211,0.03,0.07,0.07,-0.05,0.06,0.21,0.04,0.0
2009-08-03,211,0.0,0.17,0.17,-0.03,0.5,0.22,0.17,0.0
2009-08-04,211,0.27,0.33,0.4,0.52,0.23,-0.04,0.13,0.07
2009-08-05,213,0.13,0.13,0.16,0.38,0.13,0.53,0.03,0.03
2009-08-06,218,0.14,0.26,0.26,-0.01,0.45,0.7,0.12,0.0
2009-08-07,214,0.21,0.47,0.47,-0.02,1.37,0.2,0.26,0.0
2009-08-08,207,0.18,-0.01,0.19,2.17,-0.56,0.03,0.0,0.0
2009-08-09,206,0.02,0.1,0.1,-0.11,0.15,0.04,0.08,0.0
2009-08-10,211,0.12,0.12,0.14,1.81,0.16,0.23,0.02,0.02
2009-08-11,209,-0.01,0.03,0.04,-0.14,0.03,0.16,0.05,0.01
2009-08-12,216,0.24,0.42,0.46,0.76,0.72,0.19,0.22,0.04
2009-08-13,229,0.24,0.36,0.37,0.29,0.5,1.34,0.12,0.01
2009-08-14,225,0.42,0.46,0.48,0.19,0.48,0.92,0.06,0.03
2009-08-15,208,0.07,0.09,0.09,0.06,0.31,0.46,0.02,0.0
2009-08-16,206,-0.02,-0.01,0.02,-0.08,-0.16,0.08,0.04,0.03
2009-08-17,210,0.08,-0.01,0.1,0.58,-0.05,0.02,0.02,0.02
2009-08-18,209,-0.02,0.04,0.05,-0.19,0.54,0.18,0.07,0.01
2009-08-19,210,0.09,0.56,0.56,0.24,7.65,-0.02,0.47,0.0
2009-08-20,209,0.04,0.36,0.36,-0.14,1.67,0.09,0.32,0.0
2009-08-21,216,0.16,0.36,0.39,-0.76,0.37,0.3,0.24,0.03
2009-08-22,224,0.17,0.44,0.44,-0.01,0.69,0.95,0.27,0.0
2009-08-23,223,0.26,0.33,0.35,0.22,0.51,0.82,0.09,0.02
2009-08-24,229,0.54,0.59,0.62,0.35,0.59,0.4,0.09,0.03
2009-08-25,223,0.31,0.23,0.32,0.44,0.13,0.92,0.01,0.01
2009-08-26,216,0.09,0.3,0.3,0.15,1.31,0.66,0.22,0.01
2009-08-27,211,0.06,-0.01,0.06,0.25,-0.15,0.06,0.0,0.0
2009-08-28,209,0.04,-0.01,0.05,0.2,-0.09,0.06,0.01,0.01
2009-08-29,206,0.09,0.03,0.1,0.15,0.06,0.03,0.0,0.0
2009-08-30,212,0.31,0.39,0.41,0.22,0.15,0.02,0.1,0.02
2009-08-31,212,0.04,0.25,0.26,-0.11,0.27,0.17,0.22,0.01
2009-09-01,222,0.36,0.35,0.48,1.48,0.43,-0.23,0.12,0.12
2009-09-02,223,0.06,0.26,0.26,-0.01,0.59,0.27,0.21,0.0
2009-09-03,224,0.14,0.21,0.23,0.16,0.26,0.55,0.09,0.02
2009-09-04,227,0.2,0.25,0.31,0.39,0.37,0.75,0.11,0.05
2009-09-05,225,0.18,0.21,0.26,0.51,0.47,2.04,0.09,0.05
2009-09-06,216,0.12,0.21,0.23,0.15,0.3,1.67,0.11,0.02
2009-09-07,213,0.05,0.25,0.25,0.06,0.58,0.77,0.2,0.0
2009-09-08,219,0.16,0.24,0.26,0.29,0.66,0.49,0.1,0.02
2009-09-09,233,0.16,0.33,0.34,0.1,0.49,0.54,0.18,0.01
2009-09-10,233,0.23,0.17,0.24,0.36,0.23,0.56,0.02,0.02
2009-09-11,225,0.44,0.33,0.47,0.51,0.27,0.08,0.04,0.04
2009-09-12,220,0.16,0.36,0.36,0.06,0.77,0.79,0.2,0.0
2009-09-13,221,0.31,0.34,0.39,0.33,0.55,0.44,0.08,0.05
2009-09-14,218,0.18,0.31,0.31,0.05,0.47,0.85,0.13,0.0
2009-09-15,219,0.16,0.27,0.27,-0.01,1.02,0.4,0.11,0.0
2009-09-16,219,0.34,0.34,0.42,0.28,0.4,0.37,0.08,0.08
2009-09-17,224,0.52,0.44,0.53,0.43,0.36,0.57,0.01,0.01
2009-09-18,223,0.42,0.35,0.47,0.23,0.37,0.58,0.05,0.05
2009-09-19,223,0.3,0.3,0.32,0.17,0.17,1.0,0.02,0.02
2009-09-20,220,0.15,-0.0,0.15,0.34,-0.0,0.66,0.0,0.0
2009-09-21,219,0.22,0.28,0.3,0.37,0.81,0.15,0.09,0.03
2009-09-22,213,0.1,0.12,0.13,0.09,0.21,0.05,0.03,0.0
2009-09-23,208,0.09,0.0,0.09,0.35,-0.24,0.15,0.01,0.01
2009-09-24,211,0.42,0.56,0.57,0.18,0.54,0.05,0.15,0.01
2009-09-25,210,0.18,0.06,0.2,1.1,-0.73,0.07,0.02,0.02
2009-09-26,206,0.03,-0.02,0.04,0.89,-0.48,0.1,0.01,0.01
2009-09-27,206,-0.01,-0.01,0.01,-19.02,-0.06,0.05,0.03,0.03
2009-09-28,209,0.07,-0.01,0.07,0.92,-0.71,0.08,0.0,0.0
2009-09-29,213,0.46,-0.02,0.48,1.62,-1.32,0.02,0.01,0.01
2009-09-30,217,0.58,0.26,0.6,0.5,-0.55,0.03,0.03,0.03
2009-10-01,217,-0.02,0.0,0.02,-0.52,0.01,0.14,0.04,0.02
2009-10-02,216,-0.03,-0.04,0.04,-1.56,-0.34,0.17,0.07,0.07
2009-10-03,212,0.72,0.75,0.77,0.38,0.47,0.09,0.04,0.02
2009-10-04,220,0.23,0.58,0.58,-0.15,2.37,0.18,0.35,0.0
2009-10-05,217,0.68,0.72,0.74,0.17,0.57,0.04,0.06,0.02
2009-10-06,217,0.19,-0.03,0.2,3.34,-0.24,0.21,0.0,0.0
2009-10-07,231,0.38,0.6,0.6,0.05,0.87,0.29,0.22,0.0
2009-10-08,219,0.25,0.28,0.31,0.25,0.36,0.28,0.06,0.03
2009-10-09,212,0.18,-0.01,0.2,0.35,-0.2,0.07,0.02,0.02
2009-10-10,210,0.0,-0.06,0.06,0.0,-0.06,0.04,0.06,0.06
2009-10-11,212,0.02,-0.01,0.02,0.08,-0.01,0.06,0.0,0.0
2009-10-12,215,-0.02,0.26,0.26,-0.13,2.15,0.12,0.28,0.0
2009-10-13,221,0.82,0.7,0.86,1.51,0.32,-0.44,0.03,0.03
2009-10-14,213,0.22,0.14,0.22,0.35,-0.01,0.04,0.0,0.0
2009-10-15,215,0.48,-0.02,0.52,1.52,-0.09,0.0,0.04,0.04
2009-10-16,214,0.0,-0.02,0.02,0.0,-0.01,0.05,0.02,0.02
2009-10-17,210,-0.05,0.15,0.16,-0.11,0.23,0.06,0.21,0.01
2009-10-18,212,0.02,0.15,0.15,-0.09,0.39,0.18,0.13,0.0
2009-10-19,215,0.2,0.47,0.49,-1.17,1.07,0.04,0.28,0.01
2009-10-20,224,0.32,0.41,0.44,0.21,0.44,0.63,0.13,0.03
2009-10-21,221,0.56,0.59,0.59,0.09,0.74,0.49,0.03,0.0
2009-10-22,214,0.52,0.3,0.54,0.94,0.21,0.08,0.02,0.02
2009-10-23,215,0.22,0.03,0.22,15.96,-0.01,-0.02,0.0,0.0
2009-10-24,208,0.79,0.11,0.81,5.31,-0.19,-0.02,0.02,0.02
2009-10-25,206,0.5,0.07,0.52,0.15,-0.07,-0.01,0.03,0.03
2009-10-26,216,-0.02,-0.03,0.03,0.06,-0.19,0.08,0.05,0.05
2009-10-27,216,0.17,0.11,0.19,0.73,0.13,0.45,0.02,0.02
2009-10-28,229,0.44,0.22,0.44,0.62,-0.06,0.94,0.0,0.0
2009-10-29,221,0.43,0.16,0.43,0.69,0.14,0.26,0.0,0.0
2009-10-30,214,0.15,0.12,0.16,1.57,0.26,0.4,0.02,0.02
2009-10-31,205,-0.04,0.1,0.11,-10.48,0.08,0.08,0.15,0.01
2009-11-01,199,-0.01,0.18,0.18,-40.36,0.13,0.05,0.19,0.0
2009-11-02,201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-11-03,200,-0.01,0.0,0.01,-3.13,0.0,0.03,0.01,0.01
2009-11-04,200,-0.01,-0.01,0.01,-0.89,-0.03,0.01,0.02,0.02
2009-11-05,202,-0.02,-0.02,0.03,-0.46,-0.04,0.02,0.05,0.05
2009-11-06,199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-11-07,196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-11-08,197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-11-09,200,-0.01,-0.02,0.02,-0.05,-0.01,0.01,0.03,0.03
2009-11-10,202,0.0,-0.01,0.01,0.0,-0.02,0.01,0.01,0.01
2009-11-11,198,0.0,0.29,0.29,0.0,0.4,0.08,0.29,-0.0
2009-11-12,200,0.09,0.22,0.22,-1.03,0.41,0.26,0.13,0.0
2009-11-13,219,0.65,0.51,0.69,1.06,0.9,-0.45,0.04,0.04
2009-11-14,216,0.63,0.53,0.69,0.75,1.31,-0.02,0.07,0.07
2009-11-15,201,0.5,0.3,0.51,0.37,0.11,0.35,0.01,0.01
2009-11-16,200,0.01,-0.01,0.02,6.74,-0.12,0.34,0.01,0.01
2009-11-17,201,-0.01,-0.02,0.03,-177.14,-0.03,0.28,0.04,0.04
2009-11-18,202,-0.0,-0.01,0.01,-0.03,-0.0,0.0,0.02,0.02
2009-11-19,202,-0.01,-0.01,0.01,-0.0,-0.01,0.01,0.02,0.02
2009-11-20,199,0.06,0.46,0.46,-0.35,1.35,0.02,0.4,0.01
2009-11-21,195,0.0,0.09,0.09,0.0,0.07,0.05,0.09,-0.0
2009-11-22,195,0.39,0.13,0.42,1.0,-0.13,-0.0,0.03,0.03
2009-11-23,199,0.53,-0.01,0.53,0.76,-0.06,-0.02,0.0,0.0
2009-11-24,199,0.34,-0.03,0.34,11999.43,-0.23,0.07,0.0,0.0
2009-11-25,198,-0.01,-0.02,0.02,-51.24,-0.27,0.08,0.03,0.03
2009-11-26,185,-0.01,-0.02,0.02,-2.92,-0.01,0.14,0.03,0.03
2009-11-27,196,-0.02,-0.05,0.05,-1.16,-0.04,0.08,0.07,0.07
2009-11-28,204,0.36,0.17,0.38,1.22,0.22,0.32,0.01,0.01
2009-11-29,214,0.69,0.62,0.73,0.71,0.49,-0.32,0.04,0.04
2009-11-30,204,0.66,0.61,0.67,0.63,0.42,0.05,0.01,0.01
2009-12-01,202,0.51,0.25,0.55,1.17,-0.66,0.1,0.04,0.04
2009-12-02,197,0.15,-0.02,0.16,1.67,-0.17,0.02,0.01,0.01
2009-12-03,199,0.05,-0.01,0.05,0.05,-0.01,0.02,0.0,0.0
2009-12-04,199,0.02,0.03,0.03,0.01,0.08,0.16,0.01,0.0
2009-12-05,196,0.57,-0.06,0.57,6.81,-0.05,0.13,0.0,0.0
2009-12-06,201,0.59,-0.1,0.59,0.9,-0.15,0.1,0.0,0.0
2009-12-07,219,0.53,0.12,0.55,2.32,-0.62,0.41,0.02,0.02
2009-12-08,220,0.49,0.3,0.51,0.6,0.25,-0.39,0.02,0.02
2009-12-09,205,0.12,0.05,0.13,2.84,0.3,0.33,0.01,0.01
2009-12-10,204,-0.06,0.09,0.1,-0.72,0.16,0.11,0.16,0.02
2009-12-11,204,0.04,0.05,0.06,0.13,0.13,0.66,0.02,0.0
2009-12-12,208,0.58,0.07,0.6,3.07,-0.39,-0.07,0.02,0.02
2009-12-13,221,0.75,0.58,0.76,0.94,0.14,-0.7,0.0,0.0
2009-12-14,212,0.02,0.05,0.05,0.01,0.11,1.03,0.03,0.0
2009-12-15,203,-0.01,-0.04,0.04,-0.04,-0.04,0.17,0.05,0.05
2009-12-16,202,-0.01,-0.06,0.06,-0.1,-0.03,0.03,0.07,0.07
2009-12-17,203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-18,201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-19,198,-0.01,-0.03,0.03,-0.32,-0.0,0.02,0.04,0.04
2009-12-20,202,-0.02,0.01,0.02,-0.58,0.01,0.12,0.04,0.01
2009-12-21,203,-0.02,0.0,0.02,-4.09,0.0,0.17,0.04,0.02
2009-12-22,214,0.48,0.44,0.56,1.11,0.68,-0.43,0.08,0.08
2009-12-23,224,0.24,0.11,0.24,0.56,-0.1,1.22,0.0,0.0
2009-12-24,203,0.06,0.14,0.14,0.25,0.27,0.21,0.08,0.01
2009-12-25,182,0.02,-0.02,0.03,0.98,-0.06,0.06,0.01,0.01
2009-12-26,197,-0.01,0.02,0.03,-0.04,0.02,0.01,0.04,0.01
2009-12-27,199,-0.03,-0.06,0.06,-1.07,-0.07,0.1,0.09,0.09
2009-12-28,204,0.08,0.05,0.09,8.54,0.17,0.54,0.01,0.01
2009-12-29,219,0.32,0.13,0.33,0.73,-0.11,0.56,0.0,0.0
2009-12-30,219,0.45,0.13,0.46,1.39,0.24,-0.33,0.01,0.01
2009-12-31,210,0.31,0.17,0.31,0.41,0.13,0.38,0.0,0.0
2010-01-01,213,0.02,0.11,0.11,5.0,0.16,0.14,0.09,0.0
2010-01-02,219,-0.02,0.25,0.25,-0.0,0.02,-0.0,0.27,0.0
2010-01-03,217,-0.02,-0.01,0.02,-2.28,-0.01,0.01,0.04,0.04
2010-01-04,224,-0.01,-0.02,0.03,-0.47,-0.02,0.04,0.04,0.04
2010-01-05,224,-0.01,-0.02,0.02,-0.17,-0.03,0.03,0.03,0.03
2010-01-06,227,-0.02,-0.02,0.02,-0.62,-0.0,0.01,0.04,0.04
2010-01-07,227,-0.01,0.16,0.16,-0.09,0.05,0.01,0.17,0.0
2010-01-08,224,0.43,0.53,0.55,0.15,0.22,-0.02,0.12,0.02
2010-01-09,221,-0.01,-0.02,0.03,-0.88,-0.03,0.06,0.04,0.04
2010-01-10,219,-0.01,-0.02,0.03,-0.91,-0.0,0.01,0.03,0.03
2010-01-11,222,-0.0,-0.02,0.02,-0.08,-0.0,0.01,0.03,0.03
2010-01-12,223,-0.01,-0.03,0.03,-0.24,-0.02,0.05,0.04,0.04
2010-01-13,224,0.01,-0.01,0.01,0.02,-0.0,0.19,0.0,0.0
2010-01-14,227,0.27,0.34,0.37,0.31,0.18,-0.03,0.1,0.03
2010-01-15,222,0.05,-0.03,0.06,0.25,-0.01,0.01,0.01,0.01
2010-01-16,217,-0.01,-0.01,0.01,-0.31,-0.0,0.03,0.02,0.02
2010-01-17,216,-0.03,-0.03,0.04,-0.03,-0.0,0.02,0.07,0.07
2010-01-18,229,0.35,0.11,0.35,2.27,-0.07,0.45,0.0,0.0
2010-01-19,238,0.46,0.07,0.47,1.09,0.27,0.46,0.02,0.02
2010-01-20,245,0.5,0.39,0.51,0.78,0.16,0.57,0.01,0.01
2010-01-21,243,0.62,0.55,0.62,1.52,-0.15,1.11,0.0,0.0
2010-01-22,244,0.56,0.4,0.56,0.74,0.12,0.42,0.0,0.0
2010-01-23,236,0.47,0.37,0.48,0.69,0.28,0.63,0.02,0.02
2010-01-24,223,0.05,0.01,0.05,0.56,0.07,0.7,0.0,0.0
2010-01-25,215,0.05,0.02,0.06,13.44,0.08,0.57,0.01,0.01
2010-01-26,223,0.28,-0.01,0.28,5.74,-0.01,0.18,0.0,0.0
2010-01-27,242,0.57,0.29,0.57,1.28,0.19,1.1,0.01,0.01
2010-01-28,239,0.54,0.37,0.54,0.56,0.08,1.09,0.0,0.0
2010-01-29,230,0.36,0.06,0.37,0.6,-0.05,0.36,0.0,0.0
2010-01-30,221,0.0,0.15,0.15,-0.77,0.19,0.07,0.15,0.0
2010-01-31,220,-0.02,-0.04,0.04,-0.04,-0.01,0.03,0.06,0.06
2010-02-01,221,-0.05,-0.03,0.06,-0.35,-0.01,0.03,0.1,0.09
2010-02-02,223,0.09,-0.01,0.09,1.91,-0.0,0.27,0.0,0.0
2010-02-03,231,0.72,0.74,0.75,0.36,0.44,-0.16,0.03,0.01
2010-02-04,228,0.16,0.25,0.26,0.22,0.52,0.84,0.11,0.01
2010-02-05,223,0.21,0.23,0.25,0.49,0.12,0.18,0.05,0.03
2010-02-06,232,0.38,0.33,0.39,1.34,0.26,0.98,0.0,0.0
2010-02-07,241,0.5,0.42,0.54,0.51,0.3,0.99,0.04,0.04
2010-02-08,233,0.25,0.3,0.35,0.36,0.71,1.03,0.1,0.05
2010-02-09,227,0.11,-0.01,0.11,0.36,-0.04,0.54,0.0,0.0
2010-02-10,235,0.3,0.21,0.31,0.81,-0.22,0.23,0.0,0.0
2010-02-11,222,0.26,0.27,0.31,0.17,0.4,0.45,0.04,0.04
2010-02-12,220,0.33,-0.03,0.33,5.42,-0.03,0.12,0.0,0.0
2010-02-13,221,0.72,0.01,0.72,5.65,-0.02,0.01,0.0,0.0
2010-02-14,216,0.27,-0.05,0.28,0.17,-0.01,0.01,0.0,0.0
2010-02-15,217,0.34,0.01,0.34,1.21,-0.01,0.01,0.0,0.0
2010-02-16,222,0.11,0.11,0.15,0.06,0.02,0.0,0.04,0.04
2010-02-17,223,-0.01,0.03,0.03,-0.12,0.01,0.02,0.04,0.0
2010-02-18,224,0.49,-0.04,0.49,3.37,-0.08,0.03,0.0,0.0
2010-02-19,227,0.73,0.35,0.73,2.41,0.24,-0.36,0.0,0.0
2010-02-20,241,0.36,-0.04,0.36,0.56,-0.06,1.81,0.0,0.0
2010-02-21,241,0.59,0.2,0.59,1.01,-0.06,1.19,0.0,0.0
2010-02-22,241,0.56,0.3,0.57,0.73,0.26,0.02,0.01,0.01
2010-02-23,227,0.32,0.28,0.35,1.16,1.13,1.02,0.03,0.03
2010-02-24,227,0.45,0.41,0.47,1.08,0.48,0.39,0.02,0.02
2010-02-25,235,0.57,0.23,0.57,0.5,0.09,-0.06,0.0,0.0
2010-02-26,221,-0.05,0.06,0.07,-0.36,0.08,0.13,0.12,0.01
2010-02-27,222,0.17,0.05,0.18,0.98,0.05,0.57,0.01,0.01
2010-02-28,236,0.59,0.62,0.64,0.37,0.41,0.86,0.05,0.02
2010-03-01,227,0.11,-0.04,0.11,0.82,-0.16,0.85,0.01,0.01
2010-03-02,221,0.04,0.06,0.07,2.01,0.06,0.15,0.03,0.01
2010-03-03,225,0.31,0.1,0.31,0.75,-0.01,0.07,0.0,0.0
2010-03-04,227,0.56,0.47,0.61,0.84,1.05,-0.11,0.05,0.05
2010-03-05,229,0.06,0.09,0.11,0.15,0.89,0.25,0.05,0.02
2010-03-06,223,-0.05,0.13,0.15,-1.59,0.62,1.02,0.2,0.02
2010-03-07,237,0.46,0.35,0.47,0.77,0.24,2.67,0.01,0.01
2010-03-08,241,0.17,0.16,0.19,0.27,0.36,4.12,0.03,0.03
2010-03-09,243,0.67,0.54,0.68,0.84,0.55,0.68,0.01,0.01
2010-03-10,246,0.41,0.27,0.42,1.04,0.55,0.2,0.01,0.01
2010-03-11,242,0.31,0.3,0.4,0.53,0.6,0.35,0.08,0.08
2010-03-12,220,0.1,-0.0,0.1,14.69,-0.04,0.22,0.0,0.0
2010-03-13,223,0.54,0.28,0.55,1.51,-0.77,0.51,0.01,0.01
2010-03-14,231,0.66,0.33,0.66,0.41,0.01,0.2,0.0,0.0
2010-03-15,225,0.47,0.09,0.47,0.74,-0.02,0.27,0.0,0.0
2010-03-16,224,0.08,0.04,0.09,11.72,0.05,0.11,0.01,0.01
2010-03-17,225,0.0,-0.02,0.02,0.0,-0.01,0.02,0.02,0.02
2010-03-18,224,-0.03,0.14,0.15,-4.57,1.43,0.42,0.18,0.0
2010-03-19,228,0.42,0.28,0.48,0.41,0.37,-0.29,0.07,0.07
2010-03-20,224,0.47,0.0,0.5,0.37,-0.23,0.04,0.02,0.02
2010-03-21,219,-0.02,0.01,0.02,-7.65,0.08,0.19,0.05,0.01
2010-03-22,222,-0.01,-0.04,0.04,-12.71,-0.04,0.09,0.05,0.05
2010-03-23,229,0.61,0.57,0.66,0.54,0.14,-0.13,0.04,0.04
2010-03-24,226,0.23,0.41,0.45,0.47,0.67,0.17,0.22,0.04
2010-03-25,222,0.27,-0.02,0.27,6.27,-0.01,0.12,0.0,0.0
2010-03-26,227,0.72,0.12,0.72,1.44,-0.29,-0.48,0.0,0.0
2010-03-27,223,0.44,0.54,0.58,0.17,0.98,0.04,0.14,0.04
2010-03-28,220,0.21,0.09,0.23,8.04,0.17,0.1,0.02,0.02
2010-03-29,222,-0.04,-0.05,0.07,-602.15,-0.21,0.52,0.1,0.1
2010-03-30,222,0.0,-0.02,0.02,0.0,-0.05,0.09,0.02,0.02
2010-03-31,219,0.36,0.38,0.5,3.46,0.53,0.14,0.14,0.12
2010-04-01,237,0.57,0.46,0.63,0.43,0.75,-0.17,0.06,0.06
2010-04-02,234,0.55,-0.05,0.55,1.14,-0.16,0.27,0.0,0.0
2010-04-03,226,0.79,0.19,0.79,6.87,0.14,0.02,0.0,0.0
2010-04-04,226,0.22,0.05,0.25,1.27,-0.14,0.09,0.02,0.02
2010-04-05,230,0.61,0.41,0.61,1.31,0.11,0.04,0.0,0.0
2010-04-06,236,0.3,0.05,0.3,0.31,-0.15,0.23,0.0,0.0
2010-04-07,227,0.41,-0.02,0.41,1.9,-0.04,0.03,0.0,0.0
2010-04-08,227,-0.01,0.29,0.29,-17.02,0.6,0.13,0.31,0.0
2010-04-09,226,0.42,-0.03,0.43,25.45,-0.15,0.04,0.01,0.01
2010-04-10,225,-0.02,-0.01,0.02,-0.71,-0.01,0.1,0.04,0.03
2010-04-11,225,-0.01,-0.02,0.02,-0.34,-0.04,0.02,0.02,0.02
2010-04-12,230,0.61,0.57,0.63,0.93,0.52,-0.15,0.02,0.02
2010-04-13,235,0.34,0.3,0.37,0.29,0.36,0.18,0.03,0.03
2010-04-14,231,-0.04,0.07,0.08,-1.82,0.26,0.11,0.12,0.01
2010-04-15,229,0.01,-0.02,0.02,0.02,-0.07,0.08,0.01,0.01
2010-04-16,232,0.15,0.12,0.17,0.81,0.19,0.82,0.01,0.01
2010-04-17,235,0.52,0.68,0.68,0.09,0.75,-0.36,0.16,0.0
2010-04-18,228,0.14,0.19,0.21,0.13,0.21,0.07,0.07,0.02
2010-04-19,231,0.31,0.23,0.36,0.12,0.08,0.06,0.05,0.05
2010-04-20,230,0.12,0.17,0.17,0.02,0.36,0.23,0.05,0.0
2010-04-21,239,0.68,0.56,0.69,0.73,0.33,0.01,0.01,0.01
2010-04-22,249,0.56,0.58,0.6,0.17,0.44,1.03,0.04,0.02
2010-04-23,245,0.61,0.64,0.68,0.44,0.79,0.12,0.07,0.03
2010-04-24,225,0.31,0.02,0.34,0.44,-0.45,0.2,0.03,0.03
2010-04-25,228,0.11,0.23,0.24,0.29,0.89,0.05,0.13,0.01
2010-04-26,228,0.12,0.03,0.13,0.52,0.01,0.01,0.01,0.01
2010-04-27,229,-0.0,-0.02,0.02,-0.01,-0.02,0.13,0.03,0.03
2010-04-28,228,0.07,0.04,0.07,1.95,0.02,0.2,0.0,0.0
2010-04-29,241,0.48,0.35,0.49,0.25,0.31,0.13,0.01,0.01
2010-04-30,236,0.53,0.06,0.54,0.57,-0.14,-0.02,0.0,0.0
2010-05-01,236,0.39,0.26,0.46,0.93,3.34,-0.11,0.06,0.06
2010-05-02,246,0.47,0.49,0.54,0.45,1.24,-0.14,0.07,0.06
2010-05-03,240,0.32,0.18,0.32,1.26,0.21,0.32,0.0,0.0
2010-05-04,234,-0.01,-0.01,0.01,-463.99,-0.16,0.13,0.02,0.02
2010-05-05,233,-0.01,-0.02,0.02,-1.0,-0.07,0.04,0.03,0.03
2010-05-06,233,-0.02,-0.02,0.02,-0.0,-0.0,0.01,0.04,0.04
2010-05-07,233,-0.02,0.12,0.15,-0.24,0.34,0.02,0.17,0.03
2010-05-08,228,0.48,0.27,0.48,2.37,0.1,-0.01,0.0,0.0
2010-05-09,231,-0.02,-0.02,0.02,-0.02,-0.0,0.01,0.04,0.04
2010-05-10,233,0.07,0.2,0.21,-0.08,0.26,0.04,0.15,0.01
2010-05-11,237,0.69,0.52,0.71,0.83,0.61,-0.1,0.02,0.02
2010-05-12,237,0.46,0.6,0.62,0.32,1.28,-0.05,0.17,0.03
2010-05-13,239,0.38,0.47,0.52,0.22,0.94,0.05,0.14,0.05
2010-05-14,234,0.25,0.25,0.3,0.08,0.16,0.01,0.05,0.04
2010-05-15,225,0.17,0.03,0.17,0.07,-0.07,0.01,0.0,0.0
2010-05-16,227,0.38,0.09,0.38,1.43,0.15,0.07,0.0,0.0
2010-05-17,232,-0.01,0.28,0.29,-1.42,0.43,0.02,0.3,0.0
2010-05-18,237,0.7,0.4,0.73,1.5,-0.42,-0.03,0.03,0.03
2010-05-19,234,0.52,0.54,0.57,0.26,0.32,0.01,0.05,0.03
2010-05-20,232,-0.0,-0.02,0.02,0.01,-0.15,0.09,0.02,0.02
2010-05-21,234,0.69,0.58,0.71,8.03,2.99,0.01,0.02,0.02
2010-05-22,229,-0.02,0.04,0.06,-0.55,0.08,0.02,0.08,0.03
2010-05-23,228,0.17,0.1,0.18,1.15,0.13,0.06,0.0,0.0
