date,n_gauges,cc_era5,cc_imerg,cc_mlr,a,b,c,cc_gain_vs_era5,cc_gain_vs_best
2005-04-15,185,0.16,-0.03,0.22,0.38,-0.14,0.04,0.05,0.05
2005-04-16,178,0.13,0.36,0.37,-0.19,0.15,0.12,0.24,0.01
2005-04-17,182,0.27,0.39,0.43,0.12,0.16,0.01,0.16,0.03
2005-04-18,186,0.16,0.22,0.27,0.32,0.19,0.01,0.1,0.04
2005-04-19,192,0.45,0.45,0.49,0.53,0.72,0.03,0.04,0.04
2005-04-20,191,0.23,0.25,0.29,0.11,0.21,0.07,0.06,0.04
2005-04-21,188,-0.03,0.35,0.35,-0.08,0.27,0.03,0.38,0.01
2005-04-22,186,-0.03,-0.06,0.07,-8.5,-0.02,0.28,0.1,0.1
2005-04-23,189,0.18,0.22,0.24,0.55,0.86,2.1,0.06,0.01
2005-04-24,229,0.55,0.56,0.6,0.38,0.44,0.77,0.05,0.04
2005-04-25,217,0.46,0.32,0.49,0.74,0.44,0.68,0.04,0.04
2005-04-26,206,0.29,0.3,0.36,0.42,0.31,0.37,0.06,0.06
2005-04-27,202,0.54,0.39,0.55,1.33,0.2,0.23,0.01,0.01
2005-04-28,214,0.61,0.36,0.61,1.09,0.01,0.28,0.0,0.0
2005-04-29,212,0.6,0.52,0.69,0.54,0.69,-0.07,0.09,0.09
2005-04-30,189,0.46,0.23,0.46,1.99,0.06,0.35,0.0,0.0
2005-05-01,205,0.66,0.57,0.67,0.67,0.44,0.01,0.01,0.01
2005-05-02,219,0.36,0.35,0.46,0.36,0.63,0.48,0.1,0.1
2005-05-03,219,0.53,0.67,0.73,0.32,0.97,0.11,0.2,0.06
2005-05-04,207,0.31,0.34,0.4,0.32,1.0,0.18,0.09,0.06
2005-05-05,202,0.28,0.25,0.34,1.04,0.28,0.08,0.06,0.06
2005-05-06,212,0.53,0.68,0.7,0.26,0.98,-0.19,0.17,0.02
2005-05-07,209,0.6,0.38,0.63,0.64,0.9,0.12,0.03,0.03
2005-05-08,201,0.43,0.23,0.44,0.84,0.32,0.07,0.01,0.01
2005-05-09,198,-0.01,0.34,0.35,-0.43,1.87,0.1,0.36,0.0
2005-05-10,201,0.58,0.37,0.58,0.83,0.07,0.07,0.0,0.0
2005-05-11,202,0.61,0.19,0.64,0.68,-0.3,0.05,0.02,0.02
2005-05-12,197,0.21,0.11,0.21,0.47,-0.0,0.17,0.0,0.0
2005-05-13,196,0.13,0.12,0.16,1.49,0.29,0.14,0.03,0.03
2005-05-14,192,0.22,0.12,0.22,1.9,-0.03,0.07,0.0,0.0
2005-05-15,196,0.07,0.93,0.93,-0.09,1.63,0.01,0.86,0.0
2005-05-16,197,0.2,0.35,0.35,0.12,0.85,0.15,0.15,0.0
2005-05-17,203,0.62,0.46,0.62,0.56,-0.15,-0.01,0.01,0.01
2005-05-18,195,0.0,-0.02,0.02,0.0,-0.0,0.01,0.02,0.02
2005-05-19,195,-0.02,0.05,0.05,-19.19,0.14,0.12,0.08,0.0
2005-05-20,195,-0.01,0.04,0.04,-1.32,0.15,0.08,0.05,0.0
2005-05-21,190,-0.01,0.07,0.07,-0.26,0.03,0.0,0.08,0.0
2005-05-22,191,-0.04,-0.02,0.04,-0.4,-0.04,0.04,0.08,0.06
2005-05-23,198,-0.03,0.04,0.05,-0.18,0.04,0.02,0.08,0.01
2005-05-24,195,-0.01,0.08,0.08,-0.24,0.07,0.1,0.09,0.0
2005-05-25,198,0.18,0.35,0.35,-0.14,0.33,0.06,0.17,0.0
2005-05-26,192,0.0,0.63,0.64,-0.63,1.76,-0.07,0.64,0.01
2005-05-27,205,0.35,0.43,0.46,0.32,0.57,0.11,0.11,0.03
2005-05-28,201,0.32,0.46,0.47,0.09,0.67,0.33,0.16,0.01
2005-05-29,203,0.19,0.43,0.44,0.06,0.78,0.31,0.25,0.0
2005-05-30,193,0.16,0.02,0.24,0.54,-0.35,0.05,0.08,0.08
2005-05-31,192,0.05,0.11,0.12,-0.43,1.13,0.22,0.07,0.0
2005-06-01,188,-0.04,0.24,0.25,-0.98,0.98,0.11,0.29,0.01
2005-06-02,186,0.03,-0.03,0.05,0.36,-0.5,0.94,0.02,0.02
2005-06-03,195,0.78,0.7,0.8,0.71,0.59,-0.33,0.02,0.02
2005-06-04,188,0.25,0.23,0.25,0.16,0.22,0.18,0.0,0.0
2005-06-05,184,0.34,0.17,0.35,0.83,0.26,0.02,0.01,0.01
2005-06-06,188,0.13,0.07,0.13,0.16,0.04,0.03,0.01,0.01
2005-06-07,187,-0.03,-0.02,0.03,-0.12,-0.08,0.05,0.05,0.05
2005-06-08,186,0.0,-0.01,0.01,0.0,-0.09,0.01,0.01,0.01
2005-06-09,195,0.42,0.09,0.42,0.77,-0.03,0.14,0.0,0.0
2005-06-10,203,0.36,0.3,0.37,0.74,0.19,0.15,0.01,0.01
2005-06-11,204,0.66,0.68,0.74,1.12,0.56,0.25,0.07,0.06
2005-06-12,208,0.23,0.33,0.34,0.1,0.38,0.69,0.11,0.01
2005-06-13,188,0.26,0.15,0.26,2.39,-0.12,0.13,0.0,0.0
2005-06-14,190,0.26,-0.02,0.26,4.54,-0.05,0.15,0.0,0.0
